repo,file_path,class_name,comment_text,level,start_line,end_line,commit_hash,commit_date,commit_message
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/FlushingIntegrationTests.java,FlushingIntegrationTests,"/**
 * Integration tests for server response flushing behavior.
 *
 * @author Sebastien Deleuze
 * @author Rossen Stoyanchev
 * @author Sam Brannen
 * @since 5.0
 */",class,36,43,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/BindingContextTests.java,BindingContextTests,"/**
 * Tests for {@link BindingContext}.
 */",class,37,39,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/DispatcherHandlerTests.java,DispatcherHandlerTests,"/**
 * Tests for {@link DispatcherHandler}.
 *
 * @author Rossen Stoyanchev
 */",class,46,50,c6a8df4a9db06e377f0884f3a40b70b873b7f381,2025-07-03 16:55:09 +0200,Use Duration.ZERO whenever possible
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/DispatcherHandlerErrorTests.java,DispatcherHandlerErrorTests,"/**
 * Test the effect of exceptions at different stages of request processing by
 * checking the error signals on the completion publisher.
 *
 * @author Rossen Stoyanchev
 */",class,68,73,1af95a0704944629a530113939ee960b49ad05fd,2025-08-12 11:42:53 +0200,Upgrade to Jackson 3.0.0-rc8 and 2.20.0-rc1
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/protobuf/Msg.java,Msg,"/**
 * Protobuf type {@code Msg}
 */",class,8,10,a6fb7e99a0dc896dfd0b266b7e5665a3370e4398,2024-06-11 14:12:55 +0200,Support for Protobuf 4.x
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/protobuf/Msg.java,Builder,"/**
   * Protobuf type {@code Msg}
   */",class,299,301,a6fb7e99a0dc896dfd0b266b7e5665a3370e4398,2024-06-11 14:12:55 +0200,Support for Protobuf 4.x
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/protobuf/SecondMsg.java,SecondMsg,"/**
 * Protobuf type {@code SecondMsg}
 */",class,8,10,a6fb7e99a0dc896dfd0b266b7e5665a3370e4398,2024-06-11 14:12:55 +0200,Support for Protobuf 4.x
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/protobuf/SecondMsg.java,Builder,"/**
   * Protobuf type {@code SecondMsg}
   */",class,227,229,a6fb7e99a0dc896dfd0b266b7e5665a3370e4398,2024-06-11 14:12:55 +0200,Support for Protobuf 4.x
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/VersionResourceResolverTests.java,VersionResourceResolverTests,"/**
 * Tests for {@link VersionResourceResolver}.
 *
 * @author Rossen Stoyanchev
 * @author Brian Clozel
 * @author Sam Brannen
 */",class,41,47,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/ContentBasedVersionStrategyTests.java,ContentBasedVersionStrategyTests,"/**
 * Tests for {@link ContentVersionStrategy}.
 *
 * @author Rossen Stoyanchev
 * @author Brian Clozel
 */",class,31,36,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
